	Name of Organization	Contact Name	Address	City	State	Address (2)	City (2)	State (2)	GEOFIPS	Zip code	Contact Info	County	Industry	Industry (2nd)	Industry (3rd)	Value Network	Value Network (2nd)	Value Network (3rd)	Business Category	Business Category (2nd)	Business Category (3rd)	# of Employees	Products	Top Three ingredients	Affiliation 	Website	Various Add on	Opening Date	Over Ten Years Running	Economic_Measure_Code
180	Herbal Ingenuity		151 Herbal Ingenuity Way	Wilkesboro	NC				37193.0	28697	336-818-2332	Wilkes	Broker			Processing and Wholesale Distribution			Agriculture			0	raw material supplier 	organic and conventional botanical products		https://www.herbalingenuity.com/		0		WCUR_REAS_NP00
181	Herbiary		29 N. Market St.	Asheville	NC				37021.0	28801	828-552-3334	Buncombe	Medical			End Consumer Distribution			Personal and Health Care			0	Herbal remedies	Medicinal herbs, tinktures, teas, essential oils, organic and natural body care		www. Herbiary.com	Medicinal Herbs, Teas, Tinctures, Essential Oils, Flower Essences, Organic & Natural Body Care, Books, and Botanical Gifts	0		WCUR_REAS_NP00
182	Hickory Nut Gap Farms	Amy and Jamie Ager	57 Sugar Hollow Rd.	Fairview	NC				37021.0	28730	828-628-1027	Buncombe	Food Product			Raw Materials	End Consumer Distribution		Agriculture	Food Manufacturing and Packaging		0	Farm and value added food products	Organic berries, Beef, Pork, & Chicken with restaurant and butcher shop	Local Harvest	https://www.hickorynutgapfarm.com/	Tourism based for farm tours, self pick berry patches and restaurant using farm to table concept.	0		WCUR_REAS_NP00
183	Hickory Nut Gorge Brewery		461 Main St.	Chimney Rock	NC				37161.0	28720	828-436-7047	Rutherford	Brewery	Restaurant	Tourism	Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft beverage and food products, live music venue		hickorynutbrewery.com	Small batch brewing with outside deck space overlooking the Rocky Broad River. Food menu and live music venue	0		WCUR_REAS_NP00
184	High Mountain Meadows Farm & Creamery	Donna Gains	486 Double Knob Dr.	Hayesville	NC				37043.0	28904	828-389-1186	Clay	Raw Materials			Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Agriculture	Food Manufacturing and Packaging		0	Value Added products	Chevre and Mozzarella Goat Cheese		http://www.appalachiangrown.org/listing/show/1161-highmountainmeadowsfarmcreamery		0		WCUR_REAS_NP00
185	Highland Brewing Company		12 Old Charlotte Hwy.	Asheville	NC				37021.0	28803	828-299-3370	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		https://www.highlandbrewing.com/	Taproom, rooftop venue for live music and rental	34669	Yes	WCUR_REAS_NP00
186	Hillman Beer		25 Sweeten Creek Rd.	Asheville	NC				37021.0	28803	828-505-1312	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		https://www.hillmanbeer.com/	Taproom, onsite restaurant, outside space	42826		WCUR_REAS_NP00
187	Hi-Wire Brewing		 2A Huntsman Pl.	Asheville	NC				37021.0	28803	828-575-9675 	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Sour and wild ale craft beverage		https://hiwirebrewing.com/	2 location Taproom and permanent food truck	41426		WCUR_REAS_NP00
188	HomeGrown		371 Merrimon Ave.	Asheville	NC				37021.0	28801	828-232-4340	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Foodtopia	https://www.slowfoodrightquick.com		0		WCUR_REAS_NP00
189	Homeplace Beer Co.		6 South Main St.	Burnsville	NC				37115.0	28714	828-536-5147	Madison	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer 	Craft Beverage and food products		https://homeplacebeer.com/	Production, taproom, pizza and small bites	42887		WCUR_REAS_NP00
190	Hoopers Creek Botanicals 	Wallace Souther	85 Alabama Ave.	Asheville	NC				37021.0	28806	828-545-5048	Buncombe 	Herbal 			Raw Materials			Agriculture			0	medicinal herbs and vegetables			http://www.appalachiangrown.org/listing/show/1890-hoopers-creek-botanicals		0		WCUR_REAS_NP00
191	Hoppy Trout Brewing, Co		911 Main St.	Andrews	NC				37039.0	28901	828-835-2111	Cherokee	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer and food products	Craft Beer		http://www.hoppytroutbrewing.com/	Brick oven Pizza with locally sourced, fresh vegetables--give grain to local farmers for livestock	42401		WCUR_REAS_NP00
192	Hot Springs Spa		315 Bridge St.	Hot Springs	NC				37115.0	28743	828-622-7676	Madison	Treatment			End Consumer Distribution			Personal and Health Care			0	Massage products	Hot mineral springs water		https://www.nchotsprings.com/		0		WCUR_REAS_NP00
193	Imladris Farm's Jams and Preserves			Fairview	NC				37021.0	28730		Buncombe	Farm	Value Added Product		Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Agriculture	Food Manufacturing and Packaging		0	Food Product Jams	Food Product		https://www.imladrisfarm.com/	value added food product from locally sourced products	0		WCUR_REAS_NP00
194	Infinity Salon and Spa		308 Hill St.	Murphy	NC				37039.0	28906	828-837-4767	Cherokee	Treatment			End Consumer Distribution			Personal and Health Care			0	Massage and organic skin care products	Massage and facial treatments		https://www.facebook.com/infinitymurphy/		0		WCUR_REAS_NP00
195	Innovation Brewing	Nicole Dexter	414 W Main St.	Sylva	NC				37099.0	28779	941-468-4528	Jackson	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage, Wild and sour craft beverage		http://www.innovation-brewing.com/?age-verified=f626d9f034	Production and 2 taproom locations with permanent food truck	41548		WCUR_REAS_NP00
196	Janay's Herbal Products		P.O Box 1234	Durham	NC				37063.0	27713		Durham	Skin Product			Processing and Wholesale Distribution	End Consumer Distribution		Personal and Health Care			0	Skin Care Products			https://www.janaysherbal.com/	This company is using the resources to produce their product in 	0		WCUR_REAS_NP00
197	Jayanti Bhakti			Asheville	NC				37021.0	28801	704-322-7168	Buncombe	Alternative Medicine			End Consumer Distribution			Personal and Health Care			0	Healing using Hypnosis, reiki energy healing, yoga, crystals a	Wellness products related to treatments		https://www.exploreasheville.com/listings/jayanti-bhakti/8869/		0		WCUR_REAS_NP00
198	Jewel of the Blue Ridge Vineyard/ Chuck Blethen	Chuck Blethen	P.O. Box 4	Marshall	NC				37115.0	28753	828-606-3130	Madison	Raw Materials			Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Tourism	Agriculture		0	Wine/value added products/agritourism	Cold-hardy Katuah Muscadine™ grapes, Katuah Scuppernong	Blue Ridge Naturally	http://jeweloftheblueridge.com	Consulting and supporting other vineyards and farms	0		WCUR_REAS_NP00
199	King Bio Pharmaceuticals	Dr.Frank King	3 Westside Dr.	Asheville	NC				37021.0	28806	828-255-0940	Buncombe	Medical			Processing and Wholesale Distribution	End Consumer Distribution		Personal and Health Care	Food Manufacturing and Packaging		0	natural supplements for humans and animals	natural human and animal supplements		https://www.drkings.com/en/	dedicated to the manufacture of safe, natural medicines without negative side effects. An FDA-registered pharmaceutical company, King Bio has six brands in multiple markets across the U.S. and internationally.	0		WCUR_REAS_NP00
200	King Daddy's Chicken and Waffle	John and Julie Stehling	444 Haywood Rd. #101	Asheville	NC				37021.0	28806	828-785-1690	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Foodtopia	http://www.ashevillekingdaddy.com		0		WCUR_REAS_NP00
201	La Petite Spa		6 Park P. W Bld B	Brevard	NC				37175.0	28712	828-883-2238	Transylvania	Spa	Market		End Consumer Distribution			Personal and Health Care			0	Personal services	Spa treatments and products		http://lapetitespabrevard.com/	relish the relaxed and friendly lifestyle that this beautiful, quaint town offers.  If you are visiting, chances are, you want to capture the spirit that lives here everyday.	0		WCUR_REAS_NP00
202	Land of Sky Regional Council		339 New Leicester Hwy., Suite 1	Asheville	NC				37021.0	28806	828-251-6622		Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Economic Development and Planning	local government planning and development		http://www.landofsky.org/	a multi-county organization serving Buncombe, Madison, Henderson, and Transylvania counties	0		WCUR_REAS_NP00
203	Lazy Hiker Brewing Co.	Lenny Jordan	188 W. Main St.	Franklin	NC				37113.0	28734	828-	Macon	Brewery	Tourism		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		lazyhikerbrewing.com/	Production, taproom, music venue and events. Permanent food truck.	42125		WCUR_REAS_NP00
204	Leading Green Distributing Inc	Kathryn Beattie	12 Bright Hope Rd.	Black Mountain	NC				37021.0	28711	828-275-2405	Buncombe	Food Product			Processing and Wholesale Distribution			Food Manufacturing and Packaging			0	Food Product	Varies Weekly	Local Food Guide	http://www.leadinggreendistributing.com		0		WCUR_REAS_NP00
205	Leigh Valentine Beauty		247 Oak St., Suite 107	Forest City	NC				37161.0	28043	828-286-4226	Rutherford	Beauty 			Processing and Wholesale Distribution	End Consumer Distribution		Personal and Health Care			0	Beauty product	Natural facial creams and masks		http://www.valentinespa.com/	combined with spa commercial sales	0		WCUR_REAS_NP00
206	Lexington Avenue Brewing		39 N. Lexington Ave.	Asheville	NC				37021.0	28801	828-252-0212	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage, alcohol and food products		http://lexavebrew.com/	taproom, full gastro pub and covered patio	40148		WCUR_REAS_NP00
207	Limones	Hugo Ramirez	13 Eagle St.	Asheville	NC				37021.0	28801	828-252-2327	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Foodtopia	http://www.limonesrestaurant.com		0		WCUR_REAS_NP00
208	Living Systems Design Consulting	Zev Friedman		Sylva	NC				37099.0	28779	828-669-1792	Jackson	Education			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Forest Farming Consulting	Farming consulting		http://www.livingsystemsdesign.net/	teaches farming techniques that meet human needs while preserving and regenerating the natural environment	0		WCUR_REAS_NP00
209	Lookout Brewing Company		103 S. Ridgeway Ave.	Black Mountain	NC				37021.0	28711	828-357-5169	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage, live music venue		http://www.lookoutbrewing.com/	Taproom, live music venue and other events	41275		WCUR_REAS_NP00
210	Lusty Monk Mustard	Kelly Davis	  	Asheville	NC				37021.0	28715	828-645-5056	Buncombe	Food Product			Processing and Wholesale Distribution	End Consumer Distribution		Food Manufacturing and Packaging			0	Food Product	various flavors of mustard		http://lustymonk.com/	handcrafted mustard in small batches, with all-natural ingredients	0		WCUR_REAS_NP00
211	Mad Company Brewing		45 N. Main St.	Marshall	NC				37115.0	28753	828-649-8600	Madison	Brewery	Tourism		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://www.madisoncountybrewing.com/	Small Batch brewing, taproom, game room, regular live music with large outside deck overlooking French Broad River	42948		WCUR_REAS_NP00
212	Madison Natural Foods 		101 N Main St.	Marshall	NC				37115.0	28753	828-649-2100	Madison	Food Product			End Consumer Distribution			Agriculture			0	Grocery Store	Full service Market	Appalachian Grown	http://www.appalachiangrown.org/listing/show/2713-madisonnaturalfoods		0		WCUR_REAS_NP00
213	Marshall Acupuncture and Herb Clinic		7 North Main St. #201	Marshall	NC				37115.0	28753	828-649-9601	Madison	Acupuncture			End Consumer Distribution			Personal and Health Care			0	Acupuncture treatments	Chinese Medicine products		http://marshallacupuncture.com/		0		WCUR_REAS_NP00
214	Massage Envy Spa- Asheville South		1863 Hendersonville Rd.	Asheville	NC				37021.0	28803	828-210-1100	Buncombe	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Massage Treatment and products	Facial and spa services		https://locations.massageenvy.com/north-carolina/asheville.html?msclkid=805df1796e811a9a0b3daa35d3020b57		0		WCUR_REAS_NP00
215	Massey Massage		1142 West US Hwy 64, Suites D&E	Murphy	NC				37039.0	28906		Cherokee	Treatment			End Consumer Distribution			Personal and Health Care			0	Spa Treatment and Products	Spa Treatments		https://www.facebook.com/masseymassage/		0		WCUR_REAS_NP00
216	Meadow Cove Farm	Claudine Cremer	260 Dula Springs Rd.	Weaverville	NC				37021.0	28787	828-658-0294	Buncombe	Food Product			Raw Materials			Agriculture			0	Food Product	Fruits, Vegetables	Local Harvest	http://www.meadowcovefarm.net/Home.html		0		WCUR_REAS_NP00
217	Mela Indian		70 N Lexington Ave.	Asheville	NC				37021.0	28801	828-225-8880	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://melaasheville.com		0		WCUR_REAS_NP00
218	Meriweather Gardens 	Rachel Meriweather	6371 Green River Rd.	Zirconia	NC				37089.0	28790	435-730-6783	Henderson	Floriculture			Raw Materials	End Consumer Distribution		Agriculture			0	Flowers/Produce	Native		https://www.meriwethergardens.com/		0		WCUR_REAS_NP00
219	Mica Town Brewing Company		25 Brown Dr.	Marion	NC				37111.0	28752	828-559-8300	McDowell	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		https://www.micatownbrewing.com/		0		WCUR_REAS_NP00
220	Mills River Brewery		330 Rockwood Rd.	Arden	NC				37021.0	28704	828-585-2396	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft beverage, alcohol and food products		http://millsriverbrewery.net/	taproom	42339		WCUR_REAS_NP00
221	Mills River Creamery	Johnston family	4193 Haywood Rd.	Mills River	NC				37089.0	28759	828-891-4007	Henderson	Food Product			Raw Materials	End Consumer Distribution		Food Manufacturing and Packaging			0	Food Products	Milk, Cheese, Eggs	Local Food Guide	http://www.millsrivercreamery.com		0		WCUR_REAS_NP00
222	Mimi's Mountain Mixes	Linda Johnson	522 Kangua Rd.	Hendersonville	NC				37089.0	28791	937-380-5600	Henderson	Food Product			Processing and Wholesale Distribution	End Consumer Distribution		Food Manufacturing and Packaging			0	Food Products	Meals		https://www.mimismountainmixes.com	Packaged cakes, pretzels, and other dry mixes	0		WCUR_REAS_NP00
223	Mojo Kitchen and Lounge		55 College St.	Asheville	NC				37021.0	28801	828-255-7767	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://mojokitchen.biz		0		WCUR_REAS_NP00
224	Moonbranch Botanicals	Robin Suggs	5294 Yellow Creek Rd.	Robbinsville	NC				37075.0	28771	828-479-2788	Graham	Floriculture			Raw Materials	End Consumer Distribution		Agriculture			0	Medicinal Plant	Ginseng, Groundnut, Goldenseal	Local Harvest	http://www.ncagr.gov/ncproducts/ShowSite.asp?ID=2275		0		WCUR_REAS_NP00
225	MoonMaid Botanicals 	Cynthia Johnson	3319 Cosby Hwy.	Cosby	TN				37087.0	37722	865-332-0390	Haywood	Medical			Processing and Wholesale Distribution	End Consumer Distribution		Personal and Health Care			0	Herbal	Herbal medicinal remedies 		http://www.moonmaidbotanicals.com/	 handcrafted herbal products that are good for you and safe for our planet, focused on offering women herbal remedies for menopause, puberty and fertility.  Chemical and hormone free.	0		WCUR_REAS_NP00
226	Mother Earth Produce	Graham and Andrea DuVall	151 Cedar Hill Rd.	Asheville	NC				37021.0	28806	828-475-0125	Buncombe	Food Product			Processing and Wholesale Distribution			Agriculture			0	Food Product	All	Local Food Guide	https://www.motherearthproduce.com/p-53-our-family.html		0		WCUR_REAS_NP00
227	Mountain Bizworks	Patrick Fitzsimmons	153 S Lexington Ave.	Asheville	NC				37021.0	28801	828-253-2834	Buncombe	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Regional Business support	training, lending, coaching		https://www.mountainbizworks.org/		0		WCUR_REAS_NP00
228	Mountain food Products	Stacy	570 Brevard Rd. # 5	Asheville	NC				37021.0	28806	828-255-7630	Buncombe	Food Product			Processing and Wholesale Distribution			Food Manufacturing and Packaging			0	Food Product	All	Local Food Guide	http://mountainfoodproducts.com		0		WCUR_REAS_NP00
229	Mountain Gardens	Joe Hollis	546 Shuford Creek Rd.	Burnsville	NC				37199.0	28714	828-675-5664	Yancey	Food Product			Raw Materials	End Consumer Distribution		Agriculture			0	Medicinal Plant	Ginseng, Wasabi Seed, Unicorn Root	None	http://mountaingardensherbs.com/		0		WCUR_REAS_NP00
230	Mountain Layers Brewing Company	Mark Petit	90 Everett St.	Bryson City	NC				37173.0	28713	828-538-0115	Swain	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		https://www.mountainlayersbrewingcompany.com/	taproom, rooftop venue, food trucks on the weekend	42856		WCUR_REAS_NP00
231	Mountain True		16 Stewart St.	Franklin	NC				37113.0	28734	828-258­8737	Macon	Non-Profit			Testing Labs, Research Institutions and Product Development			Education and Research			0	Environmental Protection 	Water quality monitoring		https://mountaintrue.org/		0		WCUR_REAS_NP00
232	Mountain West Partnership		125 Bonnie Ln.	Sylva	NC				37099.0	28779	828-586-1962		Econ Dev non-profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Promotion and recruiting	Developing the 7 westernmost counties in NC		http://gownc.org/		0		WCUR_REAS_NP00
233	Murphy Massage	Roy and Linda Barnfield	101 Mountain Drive	Murphy	NC				37039.0	28906	828-361-6847	Cherokee	Spa			End Consumer Distribution			Personal and Health Care			0	Spa and spa products			http://murphymassage.com/		0		WCUR_REAS_NP00
234	Nantahala Brewing Company		61 Depot St.	Bryson City	NC				37173.0	28714	828-488-2337	Swain	Brewery	Restaurant	Tourism	Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer and Food Products	Craft beverage and food, music venue and space rental		http://www.nantahalabrewing.com/	2 locations, production, taproom and full restaurant, live music venue, space rental for events	40299		WCUR_REAS_NP00
235	NC Arboretum Bent Creek Germplasm Repository formerly Bent Creek Institute		100 Frederick Law Olmsted Way	Asheville	NC				37021.0	28806	828-665-2492	Buncombe	Government			Testing Labs, Research Institutions and Product Development			Education and Research			0	Germplasm Repository	Coordinates research and develops market opportunities for NC specialty crop Raw Materials and botanical medicine developers and processors.		https://www.ncarboretum.org/impact/germplasm-repository/	 Combining traditional knowledge of medicinal plants with validated science	0		WCUR_REAS_NP00
236	NC Arboretum US Botanical Safety Laboratory		100 Frederick Law Olmsted Way	Asheville	NC				37021.0	28806	828-665-2492	Buncombe	Government			Testing Labs, Research Institutions and Product Development			Education and Research			0	Botanical Safety	Consortium of University Labs		https://www.ncarboretum.org/impact/germplasm-repository/	Provides safety testing for botanical products	0		WCUR_REAS_NP00
237	NC Beer Guys, LLC									0			Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Technical Assistance, Educational Institutions, and Support Pr	on-line craft beer Database of NC breweries, pubs and events		http://www.ncbeerguys.com/	online support for tourism and breweries	0		WCUR_REAS_NP00
238	NC Community College -AB-Tech Brew School	Jill Sparks	1465 Sand Hill Rd., Suite 1060	Candler	NC				37021.0	28715	828.398.7949	Buncombe	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business Research and Innovation Center			https://www.abtech.edu/business-incubation		0		WCUR_REAS_NP00
239	NC Community College Business Incubator-AB-Tech	Jill Sparks	1465 Sand Hill Rd., Suite 1060	Candler	NC				37021.0	28715	828.398.7949	Buncombe	Government			Testing Labs, Research Institutions and Product Development			Education and Research			0	Business Research and Innovation Center			https://www.abtech.edu/business-incubation		0		WCUR_REAS_NP00
240	NC Community College Small Business Center-AB-Tech	Duane Adams	1465 Sand Hill Rd., Suite 1060	Candler	NC				37021.0	28715	828.398.7951	Buncombe	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business training and Counseling			https://www.abtech.edu/content/Business-Development/Small-Business-Center/Services-and-Resources	The Center serves Buncombe and Madison Counties	0		WCUR_REAS_NP00
241	NC Community College Small Business Center-Blue Ridge	B.Kish	180 West Campus Dr.	Flat Rock	NC				37089.0	28731	828-694-1779	Henderson	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business training and Counseling			http://www.blueridge.edu/sbc	The Center serves Henderson and Transylvania Counties	0		WCUR_REAS_NP00
242	NC Community College Small Business Center-Haywood	Katy Gould	144 Industrial Park Dr.	Waynesville	NC				37087.0	28786	828-627-4512	Haywood	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business training and Counseling			https://www.haywood.edu/small-business-center		0		WCUR_REAS_NP00
243	NC Community College Small Business Center-Isothermal	Faye Bishop	1255 W. Mill St.	Columbus	NC				37149.0	28722	828-395-1667	  Polk	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business training and Counseling			https://www.isothermal.edu/academics/small-business/index.html	The Center serves Polk and Rutherford Counties	0		WCUR_REAS_NP00
244	NC Community College Small Business Center-McDowell	Frank Silver	54 College Drive Harold Smith B	Marion	NC				37111.0	28752	828-652-0634	McDowell	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business training and Counseling			https://www.mcdowelltech.edu/apps/pages/index.jsp?uREC_ID=1022341&type=d&pREC_ID=1328290		0		WCUR_REAS_NP00
245	NC Community College Small Business Center-Southwestern 	Tiffany Henry	447 College Dr.	Sylva	NC				37099.0	28779	828-339-4211	Jackson	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business training and Counseling			https://www.southwesterncc.edu/workforce-innovations/small-business-center/small-business-center	The Center serves Jackson, Swain and Macon Counties	0		WCUR_REAS_NP00
246	NC Community College Small Business Center-Tri-County	Kathryn Jenkins	2145 Airport Rd.	Marble	NC				37039.0	28905	828-835-9564	Cherokee	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business training and Counseling			https://www.tricountycc.edu/community-business/small-business-center/	The Center serves Graham, Clay and Cherokee Counties	0		WCUR_REAS_NP00
247	NC Community College-BioNetwork-Natural Products Lab	Chris Reedy	1465 Sand Hill Rd., Suite 1060	Candler	NC				37021.0	28715	828-782-2323	Buncombe	Government			Testing Labs, Research Institutions and Product Development			Education and Research			0	Analytical testing and product development with a test kitchen			https://www.ncbionetwork.org/contact-us/asheville/natural-products-laboratory	The Natural Products Lab offers analytical and quality assurance testing services and onsite equipment rentals for life science businesses, entrepreneurs, and researchers	0		WCUR_REAS_NP00
248	NC Community College-Cherokee County Center for Applied Technology	Paul Worley	2145 Airport Rd.	Marble	NC				37039.0	28905	828-835-9564 ext. 204	Cherokee	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Workforce Development Education Center			https://www.tricountycc.edu/community-business/economic-workforce-development/		0		WCUR_REAS_NP00
249	NC Community College-McDowell Universal Advanced Processing and Wholesale 	Frank Silver	634 College Dr.	Marion	NC				37111.0	28752	828-652-0634	McDowell	Government			Testing Labs, Research Institutions and Product Development			Education and Research			0	Business Research and Innovation Center			https://www.mcdowelltech.edu/apps/pages/index.jsp?uREC_ID=1022335&type=d&pREC_ID=1328291		0		WCUR_REAS_NP00
250	NC Community College-Southwestern Appalachian Farm School	Tiffany Henry	447 College Dr.	Sylva	NC				37099.0	28779	828-339-4211	Jackson	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Farmer Business Training			https://www.southwesterncc.edu/news/appalachian-farm-school-breaks-new-ground		0		WCUR_REAS_NP00
251	NC Community College-Southwestern Massage School		447 College Dr.	Sylva	NC				37099.0	28779	828-339-4211	Jackson	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Medical and therapeutic massage			https://www.southwesterncc.edu/program/therapeutic-massage-aas		0		WCUR_REAS_NP00
252	NC Craft Brewers Guild			Raleigh	NC				37183.0	27601		Wake	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Technical Assistance, Educational Institutions, and Support Pr	training, online location database		https://ncbeer.org/	 a non-profit organization to advance the interests of the NC craft breweries and to promote NC craft beer	0		WCUR_REAS_NP00
253	NC Dept of Agriculture		1001 Mail Service Center	Raleigh	NC				37183.0	27699	919-707-3000	Wake	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Government program			www.ncagr.gov	The NC Department of Agriculture and Consumer Services works to provide services that promote and improve agriculture, agribusiness and forest; protect consumers and businesses, and conserve farmland and natural resources for the prosperity of all North Carolinians.	0		WCUR_REAS_NP00
254	NC Dept of Commerce		301 North Wilmington St.	Raleigh	NC				37183.0	27601	919-814-4600	Wake	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Government program			www.nccommerce.com		0		WCUR_REAS_NP00
255	NC Herb Association	Camille F. Edwards	455 Research Dr.	Mills River	NC				37089.0	28759		Henderson	Non-Profit			Testing Labs, Research Institutions and Product Development			Education and Research			0	membership org	Research, Education, networking, coaching		http://www.ncherbassociation.org/	The N.C. Herb Association is an official state commodity group with university research scientist as advisors.	0		WCUR_REAS_NP00
256	NC Rural Center	Jamilla Hawkins	4021 Carya Dr.	Raleigh	NC				37183.0	27610	919.250.4314	Wake	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Food Business Assistance Program, Lending, Econ Dev			https://www.ncruralcenter.org/engagement/food-community-development/	The Rural Food Business Assistance Project supports farmers, value-added processors, and food service businesses in order to stimulate successful and thriving agribusinesses across rural North Carolina.	0		WCUR_REAS_NP00
257	NC State Univ Agriculture Extension 		NC State University, Campus Box	Raleigh	NC				37183.0	27695	919-515-2813	Wake	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://www.ces.ncsu.edu/categories/agriculture-food/	NC State Extension connects farmers, agribusinesses and communities with vital research-based information and technology	0		WCUR_REAS_NP00
258	NC Wine Raw Materials Association	Patti Friszolowski	PO Box 3	Welcome	NC				37057.0	27374	336-972-4228	Davidson	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Raw Materials association			https://ncwineRaw Materialss.com/	North Carolina ranks as a top-five destination for wine travelers and enthusiasts	0		WCUR_REAS_NP00
259	NCSU Ag Extension-Buncombe County	Steve Duckett	49 Mt. Carmel Rd., Suite 102	Asheville	NC				37021.0	28806	828-255-5522	Buncombe	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://buncombe.ces.ncsu.edu/		0		WCUR_REAS_NP00
260	NCSU AG Extension-Cherokee County	Doug Clement	40 Peachtree St.	Murphy	NC				37039.0	28906	828-837-2210	Cherokee	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://cherokee.ces.ncsu.edu/		0		WCUR_REAS_NP00
261	NCSU AG Extension-Clay County	Doug Clement	25 Riverside Cir.	Hayesville	NC				37043.0	28904	828-389-6305	Clay	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://clay.ces.ncsu.edu/		0		WCUR_REAS_NP00
262	NCSU AG Extension-EBCI Center	Chumper Walder, Jr.	876 Acquoni Rd.	Cherokee	NC				37099.0	28719	828-359-6939	Jackson	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://ebci.ces.ncsu.edu/		0		WCUR_REAS_NP00
263	NCSU AG Extension-Graham County	Randy Collins	39 S Main St Smith Howell Bldg.	Robbinsville	NC				37075.0	28771	828-479-7979	Graham	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://graham.ces.ncsu.edu/		0		WCUR_REAS_NP00
264	NCSU AG Extension-Haywood County	Dr. Bill Skelton	589 Raccoon Rd., Suite 118	Waynesville	NC				37087.0	28789	828-456-3575	Haywood	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://haywood.ces.ncsu.edu/		0		WCUR_REAS_NP00
265	NCSU AG Extension-Henderson County	Dr. Terry Kelley	100 Jackson Park Rd.	Hendersonville	NC				37089.0	28792	828-697-4581	Henderson	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://henderson.ces.ncsu.edu/		0		WCUR_REAS_NP00
